Year,Month,Community,Total Complaints,Total Number of Callers
2017,6,Moraga,294.0,2.0
2017,8,Portola Valley,10640.0,59.0
2017,1,Moraga,5.0,2.0
2017,4,Brentwood,1.0,1.0
2017,3,Moraga,236.0,3.0
2017,8,Brookdale,4.0,1.0
2017,2,East Palo Alto,18.0,4.0
2017,3,Los Gatos,32216.0,154.0
2017,10,San Jose,10.0,3.0
2017,1,Pacifica,9545.0,63.0
2017,11,Felton,344.0,10.0
2017,6,San Jose,26.0,1.0
2017,7,Fremont,21.0,1.0
2017,2,Boulder Creek,61.0,4.0
2017,8,Daly City,1993.0,7.0
2017,8,Santa Cruz,25935.0,148.0
2017,3,Oakland,13848.0,62.0
2017,7,East Palo Alto,180.0,3.0
2017,2,Daly City,2772.0,15.0
2017,11,Belmont,1150.0,5.0
2017,2,San Leandro,129.0,1.0
2017,2,Capitola,2017.0,20.0
2017,11,Los Gatos,26243.0,168.0
2017,3,Watsonville,205.0,2.0
2017,8,Mountain View,6500.0,66.0
2017,9,Aptos,1621.0,17.0
2017,1,Saratoga,1228.0,18.0
2017,11,Capitola,2659.0,19.0
2017,6,Ben Lomond,131.0,4.0
2017,7,Boulder Creek,198.0,4.0
2017,1,San Carlos,52.0,6.0
2017,4,Lafayette,160.0,2.0
2017,8,Los Gatos,36597.0,181.0
2017,9,San Mateo,943.0,17.0
2017,8,Burlingame,1247.0,24.0
2017,5,Watsonville,191.0,1.0
2017,7,Belmont,596.0,3.0
2017,10,Boulder Creek,78.0,5.0
2017,10,Los Altos Hills,7870.0,30.0
2017,6,Burlingame,165.0,8.0
2017,11,Carmel Valley,209.0,2.0
2017,6,Carmel Valley,228.0,2.0
2017,5,Lafayette,64.0,2.0
2017,9,Lafayette,397.0,1.0
2017,2,Los Gatos,14770.0,143.0
2017,4,Atherton,250.0,7.0
2017,3,Berkeley,343.0,8.0
2017,1,Carmel Valley,213.0,1.0
2017,2,Richmond,358.0,1.0
2017,5,Palo Alto,58725.0,288.0
2017,5,Los Altos,30881.0,241.0
2017,11,Lafayette,32.0,1.0
2017,4,San Bruno,7.0,2.0
2017,9,Hillsborough,43.0,4.0
2017,2,Half Moon Bay,551.0,10.0
2017,2,Los Altos Hills,6343.0,37.0
2017,2,Saratoga,1134.0,15.0
2017,2,Oakland,10455.0,69.0
2017,5,Belmont,1419.0,5.0
2017,4,Cupertino,1470.0,6.0
2017,4,Woodside,1733.0,23.0
2017,3,San Francisco,3885.0,64.0
2017,8,San Mateo,1189.0,22.0
2017,8,Watsonville,250.0,1.0
2017,10,Atherton,452.0,7.0
2017,2,Moraga,4.0,2.0
2017,1,San Jose,1227.0,2.0
2017,3,Foster City,880.0,13.0
2017,6,Millbrae,6.0,3.0
2017,1,Fremont,10.0,1.0
2017,4,East Palo Alto,32.0,2.0
2017,11,Oakland,11370.0,38.0
2017,1,Aptos,418.0,11.0
